,sentence,label,pred
13,"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",1,0
22,holden caulfield did it better . ,0,1
69,"this one is definitely one to skip , even for horror movie fanatics . ",0,1
83,"though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class . ",1,0
92,"you wo n't like roger , but you will quickly recognize him . ",0,1
95,this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . ,0,1
112,hilariously inept and ridiculous . ,1,0
115,sam mendes has become valedictorian at the school for soft landings and easy ways out . ,0,1
118,every nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable . ,0,1
121,it seems to me the film is about the art of ripping people off without ever letting them consciously know you have done so ,0,1
124,"( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place . ",1,0
142,what better message than ` love thyself ' could young women of any size receive ? ,1,0
171,rarely has leukemia looked so shimmering and benign . ,0,1
172,it seems like i have been waiting my whole life for this movie and now i ca n't wait for the sequel . ,1,0
183,"the lower your expectations , the more you 'll enjoy it . ",0,1
205,falls neatly into the category of good stupid fun . ,1,0
230,reign of fire looks as if it was made without much thought -- and is best watched that way . ,1,0
266,"a coda in every sense , the pinochet case splits time between a minute-by-minute account of the british court 's extradition chess game and the regime 's talking-head survivors . ",1,0
271,as unseemly as its title suggests . ,1,0
273,"minority report is exactly what the title indicates , a report . ",1,0
282,"while there 's something intrinsically funny about sir anthony hopkins saying ` get in the car , bitch , ' this jerry bruckheimer production has little else to offer ",1,0
312,i 'll bet the video game is a lot more fun than the film . ,0,1
324,"you 'll gasp appalled and laugh outraged and possibly , watching the spectacle of a promising young lad treading desperately in a nasty sea , shed an errant tear . ",1,0
341,it deserves to be seen by anyone with even a passing interest in the events shaping the world beyond their own horizons . ,1,0
358,( d ) oes n't bother being as cloying or preachy as equivalent evangelical christian movies -- maybe the filmmakers know that the likely audience will already be among the faithful . ,1,0
399,"if director michael dowse only superficially understands his characters , he does n't hold them in contempt . ",0,1
411,"i do n't mind having my heartstrings pulled , but do n't treat me like a fool . ",0,1
422,"it moves quickly , adroitly , and without fuss ; it does n't give you time to reflect on the inanity -- and the cold war datedness -- of its premise . ",1,0
447,"generally , clockstoppers will fulfill your wildest fantasies about being a different kind of time traveler , while happily killing 94 minutes . ",1,0
449,oh come on . ,0,1
464,intriguing documentary which is emotionally diluted by focusing on the story 's least interesting subject . ,1,0
501,"harrison 's flowers puts its heart in the right place , but its brains are in no particular place at all . ",1,0
509,a movie that successfully crushes a best selling novel into a timeframe that mandates that you avoid the godzilla sized soda . ,1,0
519,moretti 's compelling anatomy of grief and the difficult process of adapting to loss . ,0,1
544,"although huppert 's intensity and focus has a raw exhilaration about it , the piano teacher is anything but fun . ",0,1
546,"on the heels of the ring comes a similarly morose and humorless horror movie that , although flawed , is to be commended for its straight-ahead approach to creepiness . ",1,0
561,"another one of those estrogen overdose movies like `` divine secrets of the ya ya sisterhood , '' except that the writing , acting and character development are a lot better . ",1,0
579,"every dance becomes about seduction , where backstabbing and betrayals are celebrated , and sex is currency . ",0,1
580,"it takes a certain kind of horror movie to qualify as ` worse than expected , ' but ghost ship somehow manages to do exactly that . ",0,1
604,vera 's technical prowess ends up selling his film short ; he smoothes over hard truths even as he uncovers them . ,0,1
612,davis ... is so enamored of her own creation that she ca n't see how insufferable the character is . ,0,1
626,this flick is about as cool and crowd-pleasing as a documentary can get . ,1,0
643,"the jabs it employs are short , carefully placed and dead-center . ",1,0
645,"the words , ` frankly , my dear , i do n't give a damn , ' have never been more appropriate . ",0,1
646,"the longer the movie goes , the worse it gets , but it 's actually pretty good in the first few minutes . ",0,1
656,"so much facile technique , such cute ideas , so little movie . ",1,0
673,"drops you into a dizzying , volatile , pressure-cooker of a situation that quickly snowballs out of control , while focusing on the what much more than the why . ",1,0
685,no screen fantasy-adventure in recent memory has the showmanship of clones ' last 45 minutes . ,1,0
695,"sit through this one , and you wo n't need a magic watch to stop time ; your dvd player will do it for you . ",0,1
697,not since tom cruise in risky business has an actor made such a strong impression in his underwear . ,1,0
699,"... routine , harmless diversion and little else . ",1,0
707,no telegraphing is too obvious or simplistic for this movie . ,0,1
724,it 's everything you do n't go to the movies for . ,0,1
736,american chai encourages rueful laughter at stereotypes only an indian-american would recognize . ,0,1
749,a working class `` us vs. them '' opera that leaves no heartstring untugged and no liberal cause unplundered . ,1,0
764,"movie fans , get ready to take off ... the other direction . ",0,1
771,"very special effects , brilliantly bold colors and heightened reality ca n't hide the giant achilles ' heel in `` stuart little 2 `` : there 's just no story , folks . ",0,1
782,the structure the film takes may find matt damon and ben affleck once again looking for residuals as this officially completes a good will hunting trilogy that was never planned . ,1,0
791,"it 's somewhat clumsy and too lethargically paced -- but its story about a mysterious creature with psychic abilities offers a solid build-up , a terrific climax , and some nice chills along the way . ",0,1
829,teen movies have really hit the skids . ,0,1
846,"an absurdist comedy about alienation , separation and loss . ",0,1
